INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\File.py, Name=File.py, size=876, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\Snapshot.py, Name=Snapshot.py, size=1132, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\__init__.py, Name=__init__.py, size=91, date=2017-11-30 14:01:55
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\__pycache__, Name=__pycache__, size=4096, date=2017-11-30 14:03:50
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\__pycache__\File.cpython-36.pyc, Name=File.cpython-36.pyc, size=1446, date=2017-11-30 14:03:50
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\__pycache__\Snapshot.cpython-36.pyc, Name=Snapshot.cpython-36.pyc, size=1810, date=2017-11-30 14:03:50
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils\__pycache__\__init__.cpython-36.pyc, Name=__init__.cpython-36.pyc, size=330, date=2017-11-30 14:03:50
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Cours, Name=Cours, size=0, date=2017-09-14 14:32:41
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Cours\2017-09-14.txt, Name=2017-09-14.txt, size=312, date=2017-09-14 14:48:07
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0, Name=level0, size=0, date=2017-10-18 00:22:22
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_file.txt, Name=level1_file.txt, size=12, date=2017-10-12 16:35:16
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir, Name=level1_dir, size=0, date=2017-10-12 14:23:03
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_file.txt, Name=level2_file.txt, size=0, date=2017-10-12 14:22:58
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_dir, Name=level2_dir, size=0, date=2017-10-12 14:23:15
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_dir\level3_file.txt, Name=level3_file.txt, size=0, date=2017-10-12 14:23:12
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_dir\level3_dir, Name=level3_dir, size=0, date=2017-10-12 14:23:31
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_dir\level3_dir\level4_file.txt, Name=level4_file.txt, size=0, date=2017-10-12 14:23:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\level0\level1_dir\level2_dir\level3_dir\level4_dir, Name=level4_dir, size=0, date=2017-10-12 14:23:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1, Name=Python_TP1, size=4096, date=2017-10-12 17:01:32
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\.gitignore, Name=.gitignore, size=13, date=2017-10-12 15:55:58
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\log.conf, Name=log.conf, size=499, date=2017-10-12 15:55:58
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\logs.log, Name=logs.log, size=0, date=2017-10-12 16:28:13
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\main.py, Name=main.py, size=859, date=2017-10-12 17:01:32
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\.git, Name=.git, size=4096, date=2017-10-13 11:24:31
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\.git\COMMIT_EDITMSG, Name=COMMIT_EDITMSG, size=18, date=2017-10-12 17:01:49
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Python_TP1\.git\config, Name=config, size=424, date=2017-09-21 17:02:16
